sku,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,pass_geometry,pass_content,human_classification,needs_rerender,notes,remediation_status,post_remediation_needs_rerender,post_caseW,post_bboxH,post_cxRatio,post_cyRatio,post_canvas,post_color_mode,post_metric_warnings,post_visual_review,post_sha256
RM1103,0.742358,0.95193,0.527074,0.5,1145x1373,RGBA,,canvas|bboxH-high,False,True,acceptable variation,False,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.742358,0.95193,0.527074,0.5,1145x1373,RGBA,canvas|bboxH-high,acceptable variation,820699f61205392a1331239333ab5d794391424076f57e4db925c49c5a48cb33
G5,0.964824,0.978137,0.497487,0.499525,597x1052,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.964824,0.978137,0.497487,0.499525,597x1052,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,6feca5e6fe7c9798ab5515d8f6eabfc9deec1e78f0fb225c61622bb1dc566cea
G3,0.961983,0.978302,0.5,0.500472,605x1060,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.961983,0.978302,0.5,0.500472,605x1060,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,b907ee7c63a5fd28f12f0a72df418e3cec7b29f5864d2be61f1af7b8de899201
G2,0.978558,1.0,0.500975,0.5,1026x1400,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: human visual review accepted: possible clipping at canvas edge",unchanged-protected,False,0.978558,1.0,0.500975,0.5,1026x1400,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,4fb2592c3cdb9e351a3f7f3a9cb17036897a8fe4c9c9a8edf2dd39626cf55c14
G4,0.992665,0.986425,0.503667,0.500754,409x663,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.992665,0.986425,0.503667,0.500754,409x663,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,f0bb1141b9a7a2126416a5904e15fdcf2d19cc2a33325425d28a2ec900ab8baa
WWN116508-0013,0.819336,0.906901,0.500488,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.819336,0.906901,0.500488,0.500326,1024x1536,RGBA,,approved,861fb3b8e408f4e698428e2cf2fffbc738292c1e0eacc713a785ea04b3479b62
G6,0.966418,0.981853,0.501866,0.501433,536x1047,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.966418,0.981853,0.501866,0.501433,536x1047,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,1d637e63dedc6e8c3a66864818d12a7cbb9cb780cbf21db9b9c62fe3bd50ba9c
WW196,0.986254,1.0,0.501718,0.5,582x1000,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.986254,1.0,0.501718,0.5,582x1000,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,5c2301f5af18968e246821de4ba7e68b067cf9ce5dc711b0f312db15e9445ace
WWNG0A46020,0.739258,0.90625,0.500488,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.739258,0.90625,0.500488,0.5,1024x1536,RGBA,,approved,a33d20a5aafc6f678a2b45b7d0986db5fcdb6bafae0f6f684693d0b9c6e5daef
WW101,0.838571,1.0,0.489286,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",rerendered-and-approved,False,0.780273,0.856771,0.499512,0.500000,1024x1536,RGBA,,PASS,6b3ad3b9112392d8eaaa07dd27b74db53ef622cc14587634ce2017b095b6dd02
