index,sku,filename,brand,model,distributor,defect,source_path
1,WW101,WW101.png,IWC,Iwc 18K Portuguese Perpetual Calendar Automatic Leather Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW101.png
2,WW68,WW68.png,Omega,Omega Speedmaster Moonwatch Professional 42MM Green Leather Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW68.png
3,W12,W12.png,Breitling,BREITLING Navitimer B19 Chronograph Perpetual Calendar 43MM Blue D,WatchWarehouse,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W12.png
4,WW967,WW967.png,Cartier,Cartier Rotonde 42MM 18K Rose Gold Alligator Strp Men's Watch,WatchWarehouse,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW967.png
5,WW965,WW965.png,Piaget,Piaget Dancer 18K White Gold 31MM Quartz Men's Watch G0a03331,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW965.png
6,WW972,WW972.png,Cartier,Cartier Ballon Bleu Lg 42MM 18K Rosegold Brn Lthr Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW972.png
7,WW65,WW65.png,Omega,Omega Speedmaster Moonwatch Professional 42MM Sedna Gold Two-tone,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW65.png
8,WW66,WW66.png,Omega,Omega Speedmaster Moonwatch Professional 42MM Silver Dial,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW66.png
9,WW721,WW721.png,Omega,Omega De Ville Prestige 36.8mm Auto Ss Men's Watch,WatchWarehouse,"canvas,caseW-high,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap missing",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW721.png
10,WW195,WW195.png,Breitling,Breitling Navitimer Automatic Gmt 41MM Green Dial 18K Rose Gold,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW195.png
11,WL14,WL14.png,IWC,IWC Big Pilot 46MM Automatic Black Dial Leather Men's Watch IW5004,WatchWarehouse,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL14.png
12,WW715,WW715.png,Omega,Omega Seamaster Diver 300 Co-axial 42MM 18K Ss Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW715.png
