sku,filename,human_classification,allowed_to_change,sha256_before
RM1103,RM1103.png,acceptable variation,False,820699f61205392a1331239333ab5d794391424076f57e4db925c49c5a48cb33
G5,G5.png,acceptable variation,False,6feca5e6fe7c9798ab5515d8f6eabfc9deec1e78f0fb225c61622bb1dc566cea
G3,G3.png,acceptable variation,False,b907ee7c63a5fd28f12f0a72df418e3cec7b29f5864d2be61f1af7b8de899201
G2,G2.png,acceptable variation,False,4fb2592c3cdb9e351a3f7f3a9cb17036897a8fe4c9c9a8edf2dd39626cf55c14
G4,G4.png,acceptable variation,False,f0bb1141b9a7a2126416a5904e15fdcf2d19cc2a33325425d28a2ec900ab8baa
WWN116508-0013,WWN116508-0013.png,approved,False,861fb3b8e408f4e698428e2cf2fffbc738292c1e0eacc713a785ea04b3479b62
G6,G6.png,acceptable variation,False,1d637e63dedc6e8c3a66864818d12a7cbb9cb780cbf21db9b9c62fe3bd50ba9c
WW196,WW196.png,acceptable variation,False,5c2301f5af18968e246821de4ba7e68b067cf9ce5dc711b0f312db15e9445ace
WWNG0A46020,WWNG0A46020.png,approved,False,a33d20a5aafc6f678a2b45b7d0986db5fcdb6bafae0f6f684693d0b9c6e5daef
WW101,WW101.png,true failure,True,ee0edb3186de46915a93abd45ce4f58b95bdc5ec23116cf869cf2ff1a3525a5f
G0,G0.png,acceptable variation,False,dc8021ea98cfb3012173085eb8f5f89bb1cf0cb1252794ab0913efda7e6d0a46
W1101,W1101.png,acceptable variation,False,b8c6db3116be41e6fc7434ee839abb8529fd103a22d290eb6929ef07ea5e3436
G1,G1.png,acceptable variation,False,e0a8fb8591a430772365854a2023af4a506e5ade689ec1fa864060ae43e34c76
WW68,WW68.png,true failure,True,22f14da6a022f7e823151c4f02e9a7e48f81ea512039be047cd6b677923a0f23
WWN101924,WWN101924.png,acceptable variation,False,c55b7f61e023654f2be46e4c8892ab4f97a42b3579a02a4c24f050ec5154cd61
WWNG0A46023,WWNG0A46023.png,approved,False,8d59f637395c1b8b80e758b8c380882be3400e543ffa6351ac84883d0fe6a009
WWN275378-5008,WWN275378-5008.png,acceptable variation,False,c45a34b13631cbebe96ca2e8179a88be3a503cc3dc94e73d2d4d751378a2cd64
W19,W19.png,approved,False,88713780ec569a9b33b50ca1dae32d6691a916d173dae0566356085e5f2e6485
WWNM126710BLRO-0002,WWNM126710BLRO-0002.png,approved,False,d0d79f41e424dd2b604c4d390a69e2af6bab210775dfebd4ee42be15bfca8992
WWN103146,WWN103146.png,acceptable variation,False,bcd083e6c8dc64b67c9102278e29770c078c34a48bb3ad1caa8a5d4a389381e5
WWNG0A43010,WWNG0A43010.png,approved,False,7620c1c802fa8e6d606aea8ce99545b49ad5ce6523a901ae794b6d936fabab45
W12,W12.png,true failure,True,0bcaeb3c03460acc8188fb6a20eabfc7da017dc89c6bb8dbd92a3f252b42b058
WW967,WW967.png,true failure,True,66601da3515b0d42b0eadc0c124e3155b86591f264e7e9533c3a4a93d37806a1
WW965,WW965.png,true failure,True,e81a119adb5904e0291ab1925488424c74002b6dd55477984c05f9ad48b44f54
WWN301.PB.131.RX,WWN301.PB.131.RX.png,acceptable variation,False,b1becf77c5a5c457b9e5d655a3af487fa471d35c18856c8b933909f68ef13389
WW971,WW971.png,acceptable variation,False,2c4df2fb71708ea576e62a3441d25f00f4a15adf6b575afa7c75c3585662a1a8
WW972,WW972.png,true failure,True,68241f449a12ebe648013d4e7d6a81f9b5081ab42fd3225859043a04ac3afb9a
WWN161926-1001,WWN161926-1001.png,acceptable variation,False,90caaa6dd67ceb1d3c9a1cc229ecaf9ad38c9b10647929156f7dd810ee78db0d
WW65,WW65.png,true failure,True,7c35ee01daedba42baf6f3043af2a8bf68e789f2f2911fd88ccdde8e3817e185
WW66,WW66.png,true failure,True,512beec76cdbc58102c23a27c6a805761f18f8c66bb4a624a6a18b5a3a48abf1
WW449,WW449.png,acceptable variation,False,7960273bc469b3f670a75729b177940a7dd097704e3aa6426864dcbe678fa2a9
WWNG0A47027,WWNG0A47027.png,approved,False,3ced080abb0d3c7231f6266f723bcf12332f889b3d33b361ff889fc65efc6f78
WW721,WW721.png,true failure,True,ae7bcaa82dd1d763ae2a4cb5dbf256a18b7a18e0431a7e360b56a70aacf4d0e9
WWN298609-3003,WWN298609-3003.png,approved,False,43871c230a44147623fcd208875556474f1e07dea3678ff2633f3dbfc8c04793
WWN525.CF.0130.RX.ORL19,WWN525.CF.0130.RX.ORL19.png,approved,False,cbc06c8232eb2e627334c54e9098472c6a2e71810d36864e30614a1480ab3550
WWNM126610LN-0001,WWNM126610LN-0001.png,approved,False,51a524225e36b021d06ce7c2f4e248f771921327f43e54e5effc9b2bf552081a
WW195,WW195.png,true failure,True,efbc4f0a330feaa3b64b848c8f7dfcfa36e6bb4be0a0561f568432d0ff8936c0
WWNM126610LV-0002,WWNM126610LV-0002.png,approved,False,6e38bd908fea051072999db9ecd962c303220ba4329a38e539ef6b4c512a8580
WWN278615-6001,WWN278615-6001.png,approved,False,014699974f60abda7d56e973b243c232e3a7358a42ce1348b30041ed6de25f5e
WL14,WL14.png,true failure,True,3bc2c7ea6e4101f7f2d5d0bfa2b12b8164280d7f07ee25d9e472a0628f33ffe1
G7,G7.png,acceptable variation,False,7b6a95b43d286830187d83366d8aede0deab1f17c77f632a3c0df414bfe91265
WWN311.63.44.51.99.001,WWN311.63.44.51.99.001.png,acceptable variation,False,431ff5dc7a0da267e6f2a8c3ef5f3b4ddb5f0cf43b81dbcc0aa9ae0eaf589c5b
WWN275378-5005,WWN275378-5005.png,acceptable variation,False,9770278e3d8d580a2ed31b5664775feb84b7d3f7719c103a53f813b357a2a106
WW715,WW715.png,true failure,True,26111b19085bda3ccb94df9bb0049d7b66eb74fcf33a2b3a1c9a7b8b5cade936
WWN304.30.43.52.01.001,WWN304.30.43.52.01.001.png,approved,False,f93472577e28b780d60b00413a5a7cf98ced371bcde53fd1099afa77e51578dc
W1251,W1251.png,approved,False,562bdb326df7fc3ba4eba38b1a67dd45bd9f8ce9d5edcc646984dbebc7d150b7
WW69,WW69.png,true failure,True,1e2dc07b63eb4bf48942fa06ac135b74adf0f3d4f9b596d4423f5fd441033cfe
WWNM126300-0006,WWNM126300-0006.png,approved,False,5e77176432b89046b499bac1d22fcd160630dd50864bb9857c63030c06f340a3
WWNR17329F41G1P1,WWNR17329F41G1P1.png,acceptable variation,False,c865c8522faf6d1403498c452f1ab22ca025b8f40cbf57b5f2dc94e541c3ba2e
WL2,WL2.png,acceptable variation,False,5cd826871e95971564191447b2dd47258b50a7a243560e1dcefd4aa5171ee20c
WW720,WW720.png,true failure,True,6d897659a77bbb4fa41455b75144b93faf726640fc124a7145812b5f83b3b0c3
WWN103068,WWN103068.png,acceptable variation,False,c77f941064d2fae05f3b43c9729d3fb9e2f022b6538a4145ff5d7a85277eca83
W1123,W1123.png,acceptable variation,False,346892b60a8441c157ad4caba514db3896676590734a575c8dacc3a1a06843ed
WWNM79310-0001,WWNM79310-0001.png,acceptable variation,False,2a27c7444949679bb2d4793bfd311fb18734ec1032dd34f73d7bdc1100607b53
WW102,WW102.png,acceptable variation,False,0718f6517a82ef30b6f3d5bf74e21324da6f94892470c69938943f238f3b6aaf
WWNV 43 SC SKULL LOES VAN DELFT NR BR (NR),WWNV 43 SC SKULL LOES VAN DELFT NR BR (NR).png,approved,False,b268c1481338057e2b5a70cbb4ef6d39aa3b80bf3ce88926cbcc3eda15f58f91
