sku,filename,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,pass_technical_geometry,dial_graft,registration_inliers,source_sha256,final_sha256,visual_review,visual_notes,repair_method,metric_warnings
WW101,WW101.png,0.780273,0.856771,0.499512,0.500000,1024x1536,RGBA,,True,applied,197,ee0edb3186de46915a93abd45ce4f58b95bdc5ec23116cf869cf2ff1a3525a5f,6b3ad3b9112392d8eaaa07dd27b74db53ef622cc14587634ce2017b095b6dd02,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW68,WW68.png,0.779297,0.877604,0.500000,0.500000,1024x1536,RGBA,,True,applied,148,22f14da6a022f7e823151c4f02e9a7e48f81ea512039be047cd6b677923a0f23,6ecbf3f62038aa4749706cfbb7dcebcb0de2b292671cac895a64601160a1f9e7,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
W12,W12.png,0.778320,0.911458,0.499512,0.500000,1024x1536,RGBA,,True,applied,235,0bcaeb3c03460acc8188fb6a20eabfc7da017dc89c6bb8dbd92a3f252b42b058,ae63a8dee950e4182a213076a15ed443669a8f648ed858fba45c07ae8448ff8e,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW967,WW967.png,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,True,applied,222,66601da3515b0d42b0eadc0c124e3155b86591f264e7e9533c3a4a93d37806a1,cdcb9a859a321c276c3cad7bdb29103287809185f38dfce727d0e152f3aa4f54,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW965,WW965.png,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,True,applied,20,e81a119adb5904e0291ab1925488424c74002b6dd55477984c05f9ad48b44f54,0edc103738ce9dbdc944fa3a6fce7757d3028dde44ddd7184e19be14e8632fc1,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW972,WW972.png,0.780273,0.895182,0.500488,0.499674,1024x1536,RGBA,,True,applied,219,68241f449a12ebe648013d4e7d6a81f9b5081ab42fd3225859043a04ac3afb9a,df7596308cd2a0a1ffb39688debfa2c2a2a3ab2def82f47272ba9319be4fa24a,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW65,WW65.png,0.780273,0.869141,0.500488,0.500326,1024x1536,RGBA,,True,applied,180,7c35ee01daedba42baf6f3043af2a8bf68e789f2f2911fd88ccdde8e3817e185,31145920270662b429a87c721de4dcc8ee326613c2d33f53b2390144e66330af,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW66,WW66.png,0.780273,0.867839,0.500488,0.499674,1024x1536,RGBA,,True,applied,132,512beec76cdbc58102c23a27c6a805761f18f8c66bb4a624a6a18b5a3a48abf1,8e32e8aa9ac2f6c58d81a374e4d5dd0b732423dd528bbaa77d30649fdce12d5d,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
WW721,WW721.png,0.780273,0.861979,0.500488,0.500000,1024x1536,RGBA,,True,skipped-after-visual-artifact,,ae7bcaa82dd1d763ae2a4cb5dbf256a18b7a18e0431a7e360b56a70aacf4d0e9,20d1c0e2d81fdfaa666941fc69632297e8d04d52af8050a7328385b78c34cf6f,PASS,Visual QA found a false-positive projective dial graft; retained the clean generated render without the graft.,normalize-clean-higgsfield-raw-without-dial-graft,
WW195,WW195.png,0.779297,0.863281,0.500000,0.500000,1024x1536,RGBA,,True,applied,240,efbc4f0a330feaa3b64b848c8f7dfcfa36e6bb4be0a0561f568432d0ff8936c0,89c201fb9f4c2a2041de3b03631f2371a9220ad76eb5031aa2e576c19bd35037,PASS,"Passed individual black-background contact-sheet review; correct product, front-facing presentation, complete compact bracelet/strap, transparent background, and no visible watermark or loose fastening hardware.",higgsfield-primary-render,
