sku,human_classification,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,notes
WW101,true failure,0.838571,1.0,0.489286,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW68,true failure,0.983022,0.995,0.501698,0.4975,589x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W12,true failure,0.908273,0.932222,0.499101,0.499444,556x900,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside"
WW967,true failure,0.932707,0.930812,0.499218,0.499539,639x1084,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW965,true failure,0.983491,0.992,0.501179,0.504,424x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW972,true failure,0.984746,0.985335,0.499153,0.499083,590x1091,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW65,true failure,0.981356,1.0,0.499153,0.5,590x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion"
WW66,true failure,0.984615,1.0,0.500855,0.5,585x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion"
WW721,true failure,0.982669,0.914679,0.498267,0.463761,577x1090,RGBA,,canvas|caseW-high|case-centre-y,"canvas,caseW-high,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap missing"
WW195,true failure,0.952715,0.999,0.501751,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside"
WL14,true failure,0.892105,0.937,0.498684,0.4985,760x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW715,true failure,0.983486,0.994,0.5,0.503,545x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW69,true failure,0.979866,1.0,0.499161,0.5,596x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW720,true failure,0.98524,0.995,0.5,0.5025,542x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW719,true failure,0.998252,0.978,0.499126,0.498,572x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: angled presentation with looped mesh bracelet"
WW595,true failure,0.938571,1.0,0.479286,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap and case presentation appears damaged or heavily distorted"
WW67,true failure,0.91709,0.934,0.499154,0.5,591x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1247,true failure,0.983607,1.0,0.5,0.5,549x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW824,true failure,0.982922,0.997,0.499051,0.4985,527x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW416,true failure,0.983633,1.0,0.498363,0.5,611x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W118,true failure,0.983806,1.0,0.496964,0.5,494x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W111,true failure,0.983645,1.0,0.501168,0.5,428x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1102,true failure,0.980702,0.996667,0.5,0.499444,570x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and curled strap underside"
WL7,true failure,0.895385,0.986,0.5,0.503,650x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1240,true failure,0.981516,0.956667,0.5,0.521667,541x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware"
W1223,true failure,0.98646,0.992222,0.497099,0.500556,517x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible extra or malformed secondary watch component"
WW231,true failure,0.984298,0.987372,0.5,0.499098,1019x1663,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW404,true failure,0.983582,1.0,0.500746,0.5,670x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1252,true failure,0.983452,0.992222,0.501182,0.497222,423x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW278,true failure,0.987097,1.0,0.501613,0.5,620x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
