SKU,Brand,Model_Reference,MarketValue,Pack,Issue,CurrentImageURL_reference
CRAL0000-04E,Citizen,Citizen Promaster Sea Collection Divers AL0000-04E Men's Watch,620.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRAL0000-04E.png
CRBJ2110-01E,Citizen,Citizen Promaster Eco Drive Aqualand Chronograph Diver's BJ2110-01,568.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ2110-01E.png
CRBJ7010-24W,Citizen,Citizen Promaster Sky Eco Drive NightHawk BJ7010-24W/BJ7010-17W Me,410.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ7010-24W.png
CRBJ7086-06E,Citizen,Citizen Eco-Drive Promaster GMT 200M BJ7086-06E Men's Watch,414.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ7086-06E.png
CRBJ7094-59L,Citizen,Citizen Eco-Drive Promaster BJ7094-59L 200M Men's Watch,447.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ7094-59L.png
CRBJ7095-56X,Citizen,Citizen Eco-Drive Promaster BJ7095-56X 200M Men's Watch,433.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBJ7095-56X.png
CRBN0100-26E,Citizen,Citizen Eco-Drive Promaster Diver BN0100-26E Men's Watch,231.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBN0100-26E.png
CRBN0100-51E,Citizen,Citizen Eco Promaster Divers BN0100-51E Men's Watch,376.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBN0100-51E.png
CRBN0151-17L,Citizen,Citizen Eco-Drive Promaster Marine Diver's 200M BN0151-17L Men's W,338.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBN0151-17L.png
CRBN4026-09F,Citizen,Citizen Altichron Eco-Drive Promaster BN4026-09F,835.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRBN4026-09F.png
CREM70001W,Orient,Orient 3 Stars EM70001W Mens Watch,197.0,"$50, $125, $250",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70001W.png
CREM70002B,Orient,Orient 3 Stars EM70002B Mens Watch,195.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70002B.png
