creation_id,brand,name,cost_usd,retail_usd,in_packs,image_count,image_files
24882,Armand Nicolet,armand nicolet tramelan j09 gmt black dial automatic a663aaa nr gg4710,2369,2990,$1000,2,1.jpg;2.jpg
24883,Armand Nicolet,armand nicolet tramelan j09 gmt grey dial automatic a663aaa gr gg4710n,2369,2990,$1000,2,1.jpg;2.jpg
24885,Armand Nicolet,armand nicolet tramelan j09 chronograph black dial automatic a668aaa n,3377,4460,$5000,2,1.jpg;2.jpg
24889,Armand Nicolet,armand nicolet tramelan js9 41 silver dial black ceramic bezel divers ,2520,2800,$1000,1,1.jpg
30900,Baume & Mercier,baume mercier clifton leather strap moon phase black dial automatic m0,3349,5580,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30903,Baume & Mercier,baume mercier clifton leather strap blue dial automatic m0a10771 mens ,2399,3880,$5000,3,1.jpg;2.jpg;3.jpg
30907,Baume & Mercier,baume mercier riviera chronograph stainless steel white dial automatic,2849,4450,$5000,3,1.jpg;2.jpg;3.jpg
30202,Breitling,breitling avenger gmt stainless steel blue dial automatic divers a3232,4349,5850,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
19515,Bulova,bulova marine star quartz divers 96b272 200m mens watch,259,625,$5000,3,1.webp;2.webp;3.webp
22787,Bulova,bulova marine star open heart black dial automatic divers 98a272 200m ,329,695,$500|$1000,3,1.webp;2.webp;3.webp
23665,Bulova,bulova marine star chronograph quartz divers 98b302 200m mens watch,282,725,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
23696,Bulova,bulova modern millennia semi skeleton black dial automatic 98a291 mens,417,995,$500|$1000,3,1.webp;2.webp;3.webp
27504,Bulova,bulova marine star black silicone strap yellow dial precisionist quart,367,999,$500|$1000|$5000,3,1.webp;2.webp;3.webp
31082,Bulova,bulova lunar pilot timascus chronograph 150th anniversary limited edit,899,1995,$500|$1000|$5000,3,1.webp;2.webp;3.webp
E4549526371547,Casio,casio mtd-125d-2a1vdf,78,218,$125|$250,3,1.webp;2.webp;3.webp
E4971850540281,Casio,casio aq-230a-7b,36,343,$250|$500,0,
E4971850565895,Casio,casio f-91wg-9q,18,155,$125|$250|$500,0,
E4971850742333,Casio,casio a-168wg-9wdf,66,252,$125|$250|$500|$1000,0,
E4971850798682,Casio,casio f-91w-3hdg,18,135,$50|$125|$250|$500,0,
E4971850906506,Casio,casio ae-1200whb-1bv,34,225,$50|$125|$250|$500|$1000,0,
E4971850906537,Casio,casio ae-1200whb-3bv,34,225,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E4971850930778,Casio,casio mtp-1314d-2av,36,538,$5000,0,
E4971850934462,Casio,casio ae-1100w-1bv,32,466,$250|$500,3,1.webp;2.webp;3.webp
E4971850946533,Casio,casio a-159wgea-1df,64,347,$125|$250|$500|$1000,0,
E4971850965138,Casio,casio b640wd-1avdf,28,273,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E4971850965169,Casio,casio b640wc-5adf,50,157,$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E4971850988144,Casio,casio ae-1300wh-4avdf,32,446,$250|$500,3,1.webp;2.webp;3.webp
E79767246280,Casio,casio f-91w-1x,16,135,$50|$125|$250|$500|$1000,0,
E79767246402,Casio,casio a-158wa-1r,20,200,$50|$125|$250|$500|$1000,0,
E79767433994,Casio,casio f-201wa-1av,20,210,$125|$250|$500,0,
E79767442118,Casio,casio ae-2000w-1av,35,481,$250|$500,3,1.webp;2.webp;3.webp
E79767442149,Casio,casio ae-2000wd-1a,41,504,$5000,0,
E79767541255,Casio,casio a-168wa-1q,26,300,$50|$125|$250|$500|$1000,0,
E79767542085,Casio,casio f-105w-1aq,20,200,$125|$250|$500,0,
E79767759384,Casio,casio a-178wa-1acf,26,140,$50|$125|$250|$500|$1000,0,
E79767766085,Casio,casio ef-305-1av,41,140,$50|$125|$250,3,1.webp;2.webp;3.webp
E79767920494,Casio,casio aq-s810wc-7av,48,452,$250|$500,3,1.webp;2.webp;3.webp
E79767927295,Casio,casio ef-527d-1av,131,988,$125|$250|$500|$1000|$5000,1,1.webp
E79767944391,Casio,casio a158wea-9cf,26,217,$50|$125|$250|$500|$1000,2,1.webp;3.webp
E79767948122,Casio,casio aqs-800w-1b2v,36,267,$250,0,
E79767949082,Casio,casio f-91w-1,16,135,$50|$125|$250|$500|$1000,0,
E79767968724,Casio,casio ae-1200wh-1avcf,26,225,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E79767968786,Casio,casio ae-1200whd-1avcf,35,225,$50|$125|$250|$500|$1000,0,
E889232102375,Casio,casio mw-240-1bv,26,80,$125,3,1.webp;2.webp;3.webp
E889232112275,Casio,casio aeq-100w-1av,35,158,$125|$250,3,1.webp;2.webp;3.webp
E889232112367,Casio,casio aeq-110w-1av,35,303,$125|$250,3,1.webp;2.webp;3.webp
E889232112398,Casio,casio aeq-110w-2av,35,324,$250,3,1.webp;2.webp;3.webp
E889232140780,Casio,casio f-91wm-7acf,20,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232140810,Casio,casio f-91wm-9acf,20,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232155845,Casio,casio aeq-110w-1bv,35,466,$125|$250|$500,3,1.webp;2.webp;3.webp
E889232187525,Casio,casio f-91wm-1bcf,20,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232187587,Casio,casio f-91wm-3acf,20,217,$125|$250,3,1.webp;2.webp;3.webp
E889232192727,Casio,casio w-218h-2avcf,20,102,$50|$250,3,1.webp;2.webp;3.webp
E889232192789,Casio,casio w-218h-4b2vcf,20,110,$50|$250,0,
E889232192819,Casio,casio w-218h-4bvcf,20,98,$50,3,1.webp;2.webp;3.webp
E889232213002,Casio,casio mw-240-1e2vcf,26,75,$125,3,1.webp;2.webp;3.webp
E889232221786,Casio,casio a-700w-1acf,30,340,$125|$250|$500|$1000,0,
E889232234656,Casio,casio ws-1100h-2avcf,26,350,$250|$500,0,
E889232251103,Casio,casio ae-1000w-2a2vcf,26,350,$250|$500,0,
E889232251257,Casio,casio dw-291h-9av,35,365,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E889232261041,Casio,casio f-91ws-2cf,26,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232261072,Casio,casio f-91ws-4cf,26,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232261102,Casio,casio f-91ws-7cf,26,135,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232267838,Casio,casio ae-1200wh-5avcf,26,360,$50|$125|$250|$500|$1000,0,
E889232300764,Casio,casio a-171we-1acf,30,254,$125|$250|$500|$1000,0,
E889232317038,Casio,casio w-218hc-4avcf,20,82,$50,3,1.webp;2.webp;3.webp
E889232317700,Casio,casio aeq-120w-1avcf,35,386,$125|$250|$500,3,1.webp;2.webp;3.webp
E889232317731,Casio,casio aeq-120w-2avcf,35,140,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232341873,Casio,casio dw-291hx-1av,35,150,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E889232341903,Casio,casio dw-291hx-5av,35,195,$50|$125|$250|$500|$1000,3,1.webp;2.webp;3.webp
E889232368535,Casio,casio mw-240b-5bvcf,26,75,$125,3,1.webp;2.webp;3.webp
E889232373201,Casio,casio w-217h-3avcf,20,140,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232373232,Casio,casio w-217h-5avcf,20,140,$50|$125|$250,3,1.webp;2.webp;3.webp
E889232374659,Casio,casio mwd-110hb-1bv,42,615,$5000,3,1.webp;2.webp;3.webp
E889232376592,Casio,casio ws-b1000-1avcf,41,599,$5000,3,1.webp;2.webp;3.webp
E889232382319,Casio,casio w-218hm-5bvcf,20,148,$50,3,1.webp;2.webp;3.webp
E889232382340,Casio,casio w-218hm-7avcf,20,145,$50,3,1.webp;2.webp;3.webp
E889232394114,Casio,casio ws-1400h-8avcf,26,327,$250|$500,3,1.webp;2.webp;3.webp
E889232394145,Casio,casio ws-1400h-8bvcf,26,327,$250|$500,3,1.webp;2.webp;3.webp
E889232396026,Casio,casio aeq-120w-1bvcf,35,386,$125|$250|$500,3,1.webp;2.webp;3.webp
3786,Citizen,citizen eco blue angels radio controlled world chronograph at8020 03l,387,875,$500|$1000|$5000,3,1.webp;2.webp;3.webp
30565,Doxa,doxa sub 200 c graph ii sharkhunter black dial automatic divers 797 10,2449,2990,$1000,3,1.jpg;2.jpg;3.jpg
35490,Doxa,doxa sub 300 beta professional black dial automatic divers 830 10 351 ,1849,2490,$1000,3,1.jpg;2.jpg;3.jpg
31274,Edox,edox co 1 chronograph rubber strap blue dial automatic divers 01128 3n,2449,4051,$5000,3,1.jpg;2.jpg;3.jpg
31275,Edox,edox co 1 chronograph rubber strap black dial automatic divers 01128 3,2349,4051,$5000,3,1.jpg;2.jpg;3.jpg
30585,Grand Seiko,grand seiko elegance limited edition 20th anniversary stainless steel ,4999,7400,$5000,3,1.jpg;2.jpg;3.jpg
30586,Grand Seiko,grand seiko elegance gmt stainless steel silver dial automatic sbge269,5499,6500,$5000,3,1.jpg;2.jpg;3.jpg
12029,IWC,iwc portofino automatic iw356502 mens watch,4549,5200,$5000,3,1.jpg;2.jpg;3.jpg
30005,IWC,iwc portugieser leather strap silver dial automatic iw358304 mens watc,6449,7500,$1000|$5000,3,1.jpg;2.jpg;3.jpg
30006,IWC,iwc portofino chronograph leather strap black dial automatic iw391029 ,6049,6900,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
14684,Invicta,invicta pro diver 17566 chronograph quartz mens watch,91,795,$500,3,1.webp;2.webp;3.webp
7078,Invicta,invicta pro diver quartz chronograph silver dial 0071 mens watch,109,895,$500|$1000,3,1.webp;2.webp;3.webp
7948,Invicta,invicta mako pro diver blue dial 200m 9204ob mens watch,63,395,$250|$500,3,1.webp;2.webp;3.webp
9448,Invicta,invicta pro diver chronograph 200m 0069 mens watch,107,895,$500|$1000,3,1.webp;2.webp;3.webp
23746,Mazzucato,mazzucato rim scuba black reversible twin dial automatic sub02 bkcg9 1,2200,2644,$1000,3,1.jpg;2.jpg;3.jpg
29343,Omega,omega seamaster rubber strap black dial automatic divers 210 32 42 20 ,5234,5900,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30533,Omega,omega seamaster stainless steel grey dial automatic divers 210 30 42 2,5544,6200,$500|$1000|$5000,2,1.jpg;2.jpg
30534,Omega,omega seamaster rubber strap blue dial automatic divers 210 32 42 20 0,5244,5900,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30535,Omega,omega seamaster rubber strap green dial automatic divers 210 32 42 20 ,5249,5900,$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
30536,Omega,omega seamaster planet ocean stainless steel black dial automatic dive,6594,7400,$250|$500|$1000|$5000,3,1.jpg;2.jpg;3.jpg
21403,Orient,orient m force black dial automatic divers ra ac0n01b10b 200m mens wat,285,665,$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
21405,Orient,orient m force green dial stainless steel automatic divers ra ac0n03e1,291,753,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
24565,Orient,orient m force limited edition red dial automatic divers ra ac0l09r00b,349,915,$125|$250|$500|$1000|$5000,3,1.webp;2.webp;3.webp
