sku,source,brand,name,retail_usd,in_packs,image,has_image
E4971850565895,Eastern,Casio,casio f-91wg-9q,155,$125|$250,E4971850565895.jpg,yes
E4971850742333,Eastern,Casio,casio a-168wg-9wdf,252,$250|$500,E4971850742333.jpg,yes
E4971850798682,Eastern,Casio,casio f-91w-3hdg,135,$50|$125|$250,E4971850798682.jpg,yes
E4971850906506,Eastern,Casio,casio ae-1200whb-1bv,225,$50|$125|$250|$500|$1000,E4971850906506.jpg,yes
E4971850906537,Eastern,Casio,casio ae-1200whb-3bv,225,$50|$125|$250|$500|$1000,E4971850906537.jpg,yes
E4971850930778,Eastern,Casio,casio mtp-1314d-2av,538,$5000,E4971850930778.jpg,yes
E4971850965138,Eastern,Casio,casio b640wd-1avdf,273,$50|$250|$500|$1000,E4971850965138.jpg,yes
E4971850965169,Eastern,Casio,casio b640wc-5adf,157,$125|$250|$500|$1000,E4971850965169.jpg,yes
E79767246280,Eastern,Casio,casio f-91w-1x,135,$50|$125|$250|$500,E79767246280.jpg,yes
E79767246402,Eastern,Casio,casio a-158wa-1r,200,$50|$250|$500|$1000,E79767246402.jpg,yes
E79767433994,Eastern,Casio,casio f-201wa-1av,210,$250,E79767433994.jpg,yes
E79767442149,Eastern,Casio,casio ae-2000wd-1a,504,$5000,E79767442149.jpg,yes
E79767541255,Eastern,Casio,casio a-168wa-1q,300,$50|$250|$500|$1000,E79767541255.jpg,yes
E79767542085,Eastern,Casio,casio f-105w-1aq,200,$250,E79767542085.jpg,yes
E79767759384,Eastern,Casio,casio a-178wa-1acf,140,$50|$125|$250|$500|$1000,E79767759384.jpg,yes
E79767766085,Eastern,Casio,casio ef-305-1av,140,$50|$125|$250,E79767766085.jpg,yes
E79767927295,Eastern,Casio,casio ef-527d-1av,988,$5000,E79767927295.jpg,yes
E79767944391,Eastern,Casio,casio a158wea-9cf,217,$50|$250|$500|$1000,E79767944391.jpg,yes
E79767949082,Eastern,Casio,casio f-91w-1,135,$50|$125|$250|$500,E79767949082.jpg,yes
E79767968724,Eastern,Casio,casio ae-1200wh-1avcf,225,$50|$125|$250|$500|$1000,E79767968724.jpg,yes
E79767968786,Eastern,Casio,casio ae-1200whd-1avcf,225,$50|$125|$250|$500|$1000,E79767968786.jpg,yes
E889232102375,Eastern,Casio,casio mw-240-1bv,80,$125,E889232102375.jpg,yes
E889232112275,Eastern,Casio,casio aeq-100w-1av,158,$125|$250,E889232112275.jpg,yes
E889232140780,Eastern,Casio,casio f-91wm-7acf,135,$50|$125|$250,E889232140780.jpg,yes
E889232140810,Eastern,Casio,casio f-91wm-9acf,135,$50|$125|$250,E889232140810.jpg,yes
E889232187525,Eastern,Casio,casio f-91wm-1bcf,135,$50|$125|$250,E889232187525.jpg,yes
E889232187587,Eastern,Casio,casio f-91wm-3acf,217,$250,E889232187587.jpg,yes
E889232192727,Eastern,Casio,casio w-218h-2avcf,102,$50|$250,E889232192727.jpg,yes
E889232192789,Eastern,Casio,casio w-218h-4b2vcf,110,$50,E889232192789.jpg,yes
E889232192819,Eastern,Casio,casio w-218h-4bvcf,98,$50,E889232192819.jpg,yes
E889232213002,Eastern,Casio,casio mw-240-1e2vcf,75,$125,E889232213002.jpg,yes
E889232221786,Eastern,Casio,casio a-700w-1acf,340,$1000,E889232221786.jpg,yes
E889232251257,Eastern,Casio,casio dw-291h-9av,365,$50|$1000,E889232251257.jpg,yes
E889232261041,Eastern,Casio,casio f-91ws-2cf,135,$50|$125|$250,E889232261041.jpg,yes
E889232261072,Eastern,Casio,casio f-91ws-4cf,135,$50|$125|$250,E889232261072.jpg,yes
E889232261102,Eastern,Casio,casio f-91ws-7cf,135,$50|$125|$250,E889232261102.jpg,yes
E889232267838,Eastern,Casio,casio ae-1200wh-5avcf,360,$50|$125|$1000,E889232267838.jpg,yes
E889232300764,Eastern,Casio,casio a-171we-1acf,254,$250|$500|$1000,E889232300764.jpg,yes
E889232317038,Eastern,Casio,casio w-218hc-4avcf,82,$50,E889232317038.jpg,yes
E889232317731,Eastern,Casio,casio aeq-120w-2avcf,140,$50|$125|$250,E889232317731.jpg,yes
E889232341873,Eastern,Casio,casio dw-291hx-1av,150,$50|$125|$250|$500|$1000,E889232341873.jpg,yes
E889232341903,Eastern,Casio,casio dw-291hx-5av,195,$50|$250|$500|$1000,E889232341903.jpg,yes
